,Day,Trips,OrigCode,DestCode,Origin,Destination,OPop,DEmpl,Ourban,Durban,OInc,DInc,Distance
0,Friday,51552,30101,30101,Gamle Oslo,Gamle Oslo,41736,43121,4.75,4.75,453000,453000,0.0
1,Friday,12170,30101,30102,Gamle Oslo,Grünerløkka,41736,29560,4.75,3.65,453000,450000,2143.111352411188
2,Friday,4305,30101,30103,Gamle Oslo,Sagene,41736,19408,4.75,2.34,453000,461000,3837.4116741526727
3,Friday,9045,30101,30104,Gamle Oslo,St. Hanshaugen,41736,54104,4.75,2.8,453000,430000,4360.828506791868
4,Friday,7054,30101,30105,Gamle Oslo,Frogner,41736,48082,4.75,5.35,453000,464000,5157.307530520635
5,Friday,2353,30101,30106,Gamle Oslo,Ullern,41736,38334,4.75,7.1,453000,648000,5495.850695310252
6,Friday,1706,30101,30107,Gamle Oslo,Vestre Aker,41736,13362,4.75,11.55,453000,688000,9036.710976371432
7,Friday,4313,30101,30108,Gamle Oslo,Nordre Aker,41736,42238,4.75,10.5,453000,578000,5531.682961834201
8,Friday,3349,30101,30109,Gamle Oslo,Bjerke,41736,22537,4.75,5.85,453000,490000,4888.176111972501
9,Friday,1476,30101,30110,Gamle Oslo,Grorud,41736,9297,4.75,4.37,453000,453000,10092.272151328758
10,Friday,1771,30101,30111,Gamle Oslo,Stovner,41736,9490,4.75,5.04,453000,489000,10711.85310778364
11,Friday,5900,30101,30112,Gamle Oslo,Alna,41736,31427,4.75,9.23,453000,477000,5709.539042453486
12,Friday,4046,30101,30113,Gamle Oslo,Østensjø,41736,12470,4.75,7.66,453000,539000,5262.418363336425
13,Friday,4188,30101,30114,Gamle Oslo,Nordstrand,41736,11179,4.75,11.83,453000,607000,5575.669371347049
14,Friday,1963,30101,30115,Gamle Oslo,Søndre Nordstrand,41736,6701,4.75,6.16,453000,539000,11800.002553427605
15,Friday,13919,30101,30116,Gamle Oslo,Sentrum,41736,77995,4.75,1.4,453000,335000,2215.570736007706
16,Friday,16,30101,30117,Gamle Oslo,Marka,41736,793,4.75,5.699999999999999,453000,625000,13807.734657262356
17,Friday,12404,30102,30101,Grünerløkka,Gamle Oslo,47824,43121,3.65,4.75,450000,453000,2220.5920449705786
18,Friday,51468,30102,30102,Grünerløkka,Grünerløkka,47824,29560,3.65,3.65,450000,450000,0.0
19,Friday,9442,30102,30103,Grünerløkka,Sagene,47824,19408,3.65,2.34,450000,461000,1943.397064075684
20,Friday,12262,30102,30104,Grünerløkka,St. Hanshaugen,47824,54104,3.65,2.8,450000,430000,2850.3803440075603
21,Friday,6848,30102,30105,Grünerløkka,Frogner,47824,48082,3.65,5.35,450000,464000,5414.543905645182
22,Friday,1964,30102,30106,Grünerløkka,Ullern,47824,38334,3.65,7.1,450000,648000,6440.396647702842
23,Friday,1451,30102,30107,Grünerløkka,Vestre Aker,47824,13362,3.65,11.55,450000,688000,8350.244073659203
24,Friday,5989,30102,30108,Grünerløkka,Nordre Aker,47824,42238,3.65,10.5,450000,578000,3637.668351757211
25,Friday,4216,30102,30109,Grünerløkka,Bjerke,47824,22537,3.65,5.85,450000,490000,3561.389676635192
26,Friday,1208,30102,30110,Grünerløkka,Grorud,47824,9297,3.65,4.37,450000,453000,8855.066991932954
27,Friday,989,30102,30111,Grünerløkka,Stovner,47824,9490,3.65,5.04,450000,489000,9385.06667244633
28,Friday,2959,30102,30112,Grünerløkka,Alna,47824,31427,3.65,9.23,450000,477000,5294.072400481114
