,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,OrigCode,DestCode,Origin,Destination,Trips,Dist,Persons 2011_x,OriPop19,DestEmp19,Ourban,Durban,Inc19_x,region,Inc19_y,lon-origin,lat-origin,lon-dist,lat-dist,color
0,0,0,0,0,0,30101,30101,Gamle Oslo,Gamle Oslo,54156,0.0,32642,41736,43121,4.75,4.75,453000,30101,453000,10.7347673396537,59.8992367,10.7347673396537,59.8992367,blue
1,1,1,1,1,1,30102,30101,Grünerløkka,Gamle Oslo,18715,3770.79469836311,36931,47824,43121,3.65,4.75,450000,30101,453000,10.7774211663347,59.92547125,10.7347673396537,59.8992367,blue
2,2,2,2,2,2,30103,30101,Sagene,Gamle Oslo,9690,4797.63523369176,27199,33852,43121,2.34,4.75,461000,30101,453000,10.7658488126624,59.93827295,10.7347673396537,59.8992367,blue
3,3,3,3,3,3,30104,30101,St. Hanshaugen,Gamle Oslo,12727,3558.66347197434,26137,29966,43121,2.8,4.75,430000,30101,453000,10.7389582516493,59.9279499,10.7347673396537,59.8992367,blue
4,4,4,4,4,4,30105,30101,Frogner,Gamle Oslo,14509,3071.77407263462,37858,42741,43121,5.35,4.75,464000,30101,453000,10.7066491,59.9222241,10.7347673396537,59.8992367,blue
5,5,5,5,5,5,30106,30101,Ullern,Gamle Oslo,5644,5495.85069531025,18359,19164,43121,7.1,4.75,648000,30101,453000,10.6651318330476,59.9258182,10.7347673396537,59.8992367,blue
6,6,6,6,6,6,30107,30101,Vestre Aker,Gamle Oslo,6307,7545.01645033184,26115,27837,43121,11.55,4.75,688000,30101,453000,10.6703187408315,59.95830005,10.7347673396537,59.8992367,blue
7,7,7,7,7,7,30108,30101,Nordre Aker,Gamle Oslo,9597,6484.16730704056,29692,31804,43121,10.5,4.75,578000,30101,453000,10.7564123566546,59.95363815,10.7347673396537,59.8992367,blue
8,8,8,8,8,8,30109,30101,Bjerke,Gamle Oslo,6242,6602.88289850376,17453,20501,43121,5.85,4.75,490000,30101,453000,10.8292084530298,59.9413947,10.7347673396537,59.8992367,blue
9,9,9,9,9,9,30110,30101,Grorud,Gamle Oslo,4085,10747.0885742008,15957,17273,43121,4.37,4.75,453000,30101,453000,10.8805488,59.9614243,10.7347673396537,59.8992367,blue
10,10,10,10,10,10,30111,30101,Stovner,Gamle Oslo,4175,12068.2800883651,17580,19116,43121,5.04,4.75,489000,30101,453000,10.9228232,59.9621403,10.7347673396537,59.8992367,blue
11,11,11,11,11,11,30112,30101,Alna,Gamle Oslo,11422,7880.68840244435,29231,30341,43121,9.23,4.75,477000,30101,453000,10.8352756,59.9324168,10.7347673396537,59.8992367,blue
12,12,12,12,12,12,30113,30101,Østensjø,Gamle Oslo,9918,5228.02136598383,27005,30474,43121,7.66,4.75,539000,30101,453000,10.8327479245309,59.8875633,10.7347673396537,59.8992367,blue
13,13,13,13,13,13,30114,30101,Nordstrand,Gamle Oslo,9361,3628.12138118424,27713,30471,43121,11.83,4.75,607000,30101,453000,10.7861425,59.8645605,10.7347673396537,59.8992367,blue
14,14,14,14,14,14,30115,30101,Søndre Nordstrand,Gamle Oslo,5652,8344.19013933794,21953,23438,43121,6.16,4.75,539000,30101,453000,10.7984955157279,59.83594385,10.7347673396537,59.8992367,blue
15,15,15,15,15,15,30116,30101,Sentrum,Gamle Oslo,11109,1380.58582467063,825,1264,43121,1.4,4.75,335000,30101,453000,10.7531379,59.9110251,10.7347673396537,59.8992367,blue
16,16,16,16,16,16,30117,30101,Marka,Gamle Oslo,340,13191.8939035905,1014,1035,43121,5.7,4.75,625000,30101,453000,10.6710051914903,60.04026165,10.7347673396537,59.8992367,blue
17,17,17,17,17,17,30101,30102,Gamle Oslo,Grünerløkka,18469,3770.79469836311,32642,41736,29560,4.75,3.65,453000,30102,450000,10.7347673396537,59.8992367,10.7774211663347,59.92547125,blue
18,18,18,18,18,18,30102,30102,Grünerløkka,Grünerløkka,57167,0.0,36931,47824,29560,3.65,3.65,450000,30102,450000,10.7774211663347,59.92547125,10.7774211663347,59.92547125,blue
19,19,19,19,19,19,30103,30102,Sagene,Grünerløkka,15379,1629.54121405631,27199,33852,29560,2.34,3.65,461000,30102,450000,10.7658488126624,59.93827295,10.7774211663347,59.92547125,blue
20,20,20,20,20,20,30104,30102,St. Hanshaugen,Grünerløkka,15837,2180.73896272236,26137,29966,29560,2.8,3.65,430000,30102,450000,10.7389582516493,59.9279499,10.7774211663347,59.92547125,blue
21,21,21,21,21,21,30105,30102,Frogner,Grünerløkka,14859,5199.68888620939,37858,42741,29560,5.35,3.65,464000,30102,450000,10.7066491,59.9222241,10.7774211663347,59.92547125,blue
22,22,22,22,22,22,30106,30102,Ullern,Grünerløkka,5510,6440.39664770284,18359,19164,29560,7.1,3.65,648000,30102,450000,10.6651318330476,59.9258182,10.7774211663347,59.92547125,blue
23,23,23,23,23,23,30107,30102,Vestre Aker,Grünerløkka,6253,6871.27920613281,26115,27837,29560,11.55,3.65,688000,30102,450000,10.6703187408315,59.95830005,10.7774211663347,59.92547125,blue
24,24,24,24,24,24,30108,30102,Nordre Aker,Grünerløkka,11759,3449.37479825082,29692,31804,29560,10.5,3.65,578000,30102,450000,10.7564123566546,59.95363815,10.7774211663347,59.92547125,blue
25,25,25,25,25,25,30109,30102,Bjerke,Grünerløkka,7476,2997.61797592963,17453,20501,29560,5.85,3.65,490000,30102,450000,10.8292084530298,59.9413947,10.7774211663347,59.92547125,blue
26,26,26,26,26,26,30110,30102,Grorud,Grünerløkka,4055,7159.14217644266,15957,17273,29560,4.37,3.65,453000,30102,450000,10.8805488,59.9614243,10.7774211663347,59.92547125,blue
27,27,27,27,27,27,30111,30102,Stovner,Grünerløkka,3744,8757.24585569651,17580,19116,29560,5.04,3.65,489000,30102,450000,10.9228232,59.9621403,10.7774211663347,59.92547125,blue
28,28,28,28,28,28,30112,30102,Alna,Grünerløkka,9082,4935.87649553491,29231,30341,29560,9.23,3.65,477000,30102,450000,10.8352756,59.9324168,10.7774211663347,59.92547125,blue
29,29,29,29,29,29,30113,30102,Østensjø,Grünerløkka,6616,4934.9232867709,27005,30474,29560,7.66,3.65,539000,30102,450000,10.8327479245309,59.8875633,10.7774211663347,59.92547125,blue
30,30,30,30,30,30,30114,30102,Nordstrand,Grünerløkka,6351,6095.00140087353,27713,30471,29560,11.83,3.65,607000,30102,450000,10.7861425,59.8645605,10.7774211663347,59.92547125,blue
31,31,31,31,31,31,30115,30102,Søndre Nordstrand,Grünerløkka,3876,10453.4688685713,21953,23438,29560,6.16,3.65,539000,30102,450000,10.7984955157279,59.83594385,10.7774211663347,59.92547125,blue
32,32,32,32,32,32,30116,30102,Sentrum,Grünerløkka,9569,2752.28906982427,825,1264,29560,1.4,3.65,335000,30102,450000,10.7531379,59.9110251,10.7774211663347,59.92547125,blue
33,33,33,33,33,33,30117,30102,Marka,Grünerløkka,661,10546.7497898375,1014,1035,29560,5.7,3.65,625000,30102,450000,10.6710051914903,60.04026165,10.7774211663347,59.92547125,blue
